activity,timestamp,case
Storage Tank,1970-01-01 00:00:00+00:00,case_3317
Disposal to Landfill,1970-01-01 01:00:00+00:00,case_3317
Coarse Screens,1969-12-31 16:00:00+00:00,case_6055
Fine Screens,1969-12-31 17:00:00+00:00,case_6055
Compacted Screenings,1969-12-31 18:00:00+00:00,case_6055
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_6055
Coarse Screens,1969-12-31 16:00:00+00:00,case_9108
Fine Screens,1969-12-31 17:00:00+00:00,case_9108
Compacted Screenings,1969-12-31 18:00:00+00:00,case_9108
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_9108
Coarse Screens,1969-12-31 16:00:00+00:00,case_6187
Fine Screens,1969-12-31 17:00:00+00:00,case_6187
Compacted Screenings,1969-12-31 18:00:00+00:00,case_6187
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_6187
Coarse Screens,1969-12-31 16:00:00+00:00,case_1069
Fine Screens,1969-12-31 17:00:00+00:00,case_1069
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_1069
Sludge Grinder,1969-12-31 19:00:00+00:00,case_1069
Blend Tank,1969-12-31 20:00:00+00:00,case_1069
Anaerobic Digester,1969-12-31 21:00:00+00:00,case_1069
Coarse Screens,1969-12-31 16:00:00+00:00,case_9852
Fine Screens,1969-12-31 17:00:00+00:00,case_9852
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_9852
Sludge Grinder,1969-12-31 19:00:00+00:00,case_9852
Blend Tank,1969-12-31 20:00:00+00:00,case_9852
Anaerobic Digester,1969-12-31 21:00:00+00:00,case_9852
Coarse Screens,1969-12-31 16:00:00+00:00,case_7894
Fine Screens,1969-12-31 17:00:00+00:00,case_7894
Compacted Screenings,1969-12-31 18:00:00+00:00,case_7894
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_7894
Coarse Screens,1969-12-31 16:00:00+00:00,case_9000
Fine Screens,1969-12-31 17:00:00+00:00,case_9000
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_9000
Bio-reactor Tanks,1969-12-31 19:00:00+00:00,case_9000
Bio-reactor Tanks,1969-12-31 20:00:00+00:00,case_9000
Final Clarifier,1969-12-31 21:00:00+00:00,case_9000
Chlorine Contact Basin,1969-12-31 22:00:00+00:00,case_9000
Pond,1969-12-31 23:00:00+00:00,case_9000
De-chlorination Pond,1970-01-01 00:00:00+00:00,case_9000
Effluent Pumping Station,1970-01-01 01:00:00+00:00,case_9000
Coarse Screens,1969-12-31 16:00:00+00:00,case_1519
Fine Screens,1969-12-31 17:00:00+00:00,case_1519
Compacted Screenings,1969-12-31 18:00:00+00:00,case_1519
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_1519
Coarse Screens,1969-12-31 16:00:00+00:00,case_8300
Fine Screens,1969-12-31 17:00:00+00:00,case_8300
Compacted Screenings,1969-12-31 18:00:00+00:00,case_8300
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_8300
Coarse Screens,1969-12-31 16:00:00+00:00,case_8116
Fine Screens,1969-12-31 17:00:00+00:00,case_8116
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_8116
Bio-reactor Tanks,1969-12-31 19:00:00+00:00,case_8116
Bio-reactor Tanks,1969-12-31 20:00:00+00:00,case_8116
Bio-reactor Tanks,1969-12-31 21:00:00+00:00,case_8116
Final Clarifier,1969-12-31 22:00:00+00:00,case_8116
Chlorine Contact Basin,1969-12-31 23:00:00+00:00,case_8116
Pond,1970-01-01 00:00:00+00:00,case_8116
De-chlorination Pond,1970-01-01 01:00:00+00:00,case_8116
Cascade Aerator,1970-01-01 02:00:00+00:00,case_8116
Coarse Screens,1969-12-31 16:00:00+00:00,case_5707
Fine Screens,1969-12-31 17:00:00+00:00,case_5707
Compacted Screenings,1969-12-31 18:00:00+00:00,case_5707
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_5707
Coarse Screens,1969-12-31 16:00:00+00:00,case_3387
Fine Screens,1969-12-31 17:00:00+00:00,case_3387
Compacted Screenings,1969-12-31 18:00:00+00:00,case_3387
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_3387
Coarse Screens,1969-12-31 16:00:00+00:00,case_2349
Fine Screens,1969-12-31 17:00:00+00:00,case_2349
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_2349
Bio-reactor Tanks,1969-12-31 19:00:00+00:00,case_2349
Wastewater Centrifuge De-watering Thickening,1969-12-31 20:00:00+00:00,case_2349
Blend Tank,1969-12-31 21:00:00+00:00,case_2349
Anaerobic Digester,1969-12-31 22:00:00+00:00,case_2349
Storage Tank,1969-12-31 23:00:00+00:00,case_2349
Disposal to Landfill,1970-01-01 00:00:00+00:00,case_2349
Coarse Screens,1969-12-31 16:00:00+00:00,case_5417
Fine Screens,1969-12-31 17:00:00+00:00,case_5417
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_5417
Sludge Grinder,1969-12-31 19:00:00+00:00,case_5417
Blend Tank,1969-12-31 20:00:00+00:00,case_5417
Anaerobic Digester,1969-12-31 21:00:00+00:00,case_5417
Storage Tank,1969-12-31 22:00:00+00:00,case_5417
Disposal to Landfill,1969-12-31 23:00:00+00:00,case_5417
Coarse Screens,1969-12-31 16:00:00+00:00,case_8925
Fine Screens,1969-12-31 17:00:00+00:00,case_8925
Compacted Screenings,1969-12-31 18:00:00+00:00,case_8925
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_8925
Coarse Screens,1969-12-31 16:00:00+00:00,case_9178
Fine Screens,1969-12-31 17:00:00+00:00,case_9178
Compacted Screenings,1969-12-31 18:00:00+00:00,case_9178
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_9178
Coarse Screens,1969-12-31 16:00:00+00:00,case_4742
Fine Screens,1969-12-31 17:00:00+00:00,case_4742
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_4742
Sludge Grinder,1969-12-31 19:00:00+00:00,case_4742
Blend Tank,1969-12-31 20:00:00+00:00,case_4742
Anaerobic Digester,1969-12-31 21:00:00+00:00,case_4742
Coarse Screens,1969-12-31 16:00:00+00:00,case_3089
Fine Screens,1969-12-31 17:00:00+00:00,case_3089
Compacted Screenings,1969-12-31 18:00:00+00:00,case_3089
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_3089
Coarse Screens,1969-12-31 16:00:00+00:00,case_3680
Fine Screens,1969-12-31 17:00:00+00:00,case_3680
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_3680
Bio-reactor Tanks,1969-12-31 19:00:00+00:00,case_3680
Bio-reactor Tanks,1969-12-31 20:00:00+00:00,case_3680
Final Clarifier,1969-12-31 21:00:00+00:00,case_3680
Chlorine Contact Basin,1969-12-31 22:00:00+00:00,case_3680
Pond,1969-12-31 23:00:00+00:00,case_3680
De-chlorination Pond,1970-01-01 00:00:00+00:00,case_3680
Effluent Pumping Station,1970-01-01 01:00:00+00:00,case_3680
Coarse Screens,1969-12-31 16:00:00+00:00,case_3933
Fine Screens,1969-12-31 17:00:00+00:00,case_3933
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_3933
Bio-reactor Tanks,1969-12-31 19:00:00+00:00,case_3933
Bio-reactor Tanks,1969-12-31 20:00:00+00:00,case_3933
Wastewater Centrifuge De-watering Thickening,1969-12-31 21:00:00+00:00,case_3933
Blend Tank,1969-12-31 22:00:00+00:00,case_3933
Anaerobic Digester,1969-12-31 23:00:00+00:00,case_3933
Storage Tank,1970-01-01 00:00:00+00:00,case_3933
Disposal to Landfill,1970-01-01 01:00:00+00:00,case_3933
Coarse Screens,1969-12-31 16:00:00+00:00,case_5182
Fine Screens,1969-12-31 17:00:00+00:00,case_5182
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_5182
Sludge Grinder,1969-12-31 19:00:00+00:00,case_5182
Blend Tank,1969-12-31 20:00:00+00:00,case_5182
Anaerobic Digester,1969-12-31 21:00:00+00:00,case_5182
Storage Tank,1969-12-31 22:00:00+00:00,case_5182
Disposal to Landfill,1969-12-31 23:00:00+00:00,case_5182
Coarse Screens,1969-12-31 16:00:00+00:00,case_5330
Fine Screens,1969-12-31 17:00:00+00:00,case_5330
Compacted Screenings,1969-12-31 18:00:00+00:00,case_5330
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_5330
Coarse Screens,1969-12-31 16:00:00+00:00,case_7497
Fine Screens,1969-12-31 17:00:00+00:00,case_7497
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_7497
Bio-reactor Tanks,1969-12-31 19:00:00+00:00,case_7497
Bio-reactor Tanks,1969-12-31 20:00:00+00:00,case_7497
Bio-reactor Tanks,1969-12-31 21:00:00+00:00,case_7497
Gravity Thickening,1969-12-31 22:00:00+00:00,case_7497
Blend Tank,1969-12-31 23:00:00+00:00,case_7497
Anaerobic Digester,1970-01-01 00:00:00+00:00,case_7497
Coarse Screens,1969-12-31 16:00:00+00:00,case_570
Fine Screens,1969-12-31 17:00:00+00:00,case_570
Compacted Screenings,1969-12-31 18:00:00+00:00,case_570
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_570
Coarse Screens,1969-12-31 16:00:00+00:00,case_864
Fine Screens,1969-12-31 17:00:00+00:00,case_864
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_864
Bio-reactor Tanks,1969-12-31 19:00:00+00:00,case_864
Bio-reactor Tanks,1969-12-31 20:00:00+00:00,case_864
Dissolved-Air Flotation Thickening,1969-12-31 21:00:00+00:00,case_864
Blend Tank,1969-12-31 22:00:00+00:00,case_864
Anaerobic Digester,1969-12-31 23:00:00+00:00,case_864
Storage Tank,1970-01-01 00:00:00+00:00,case_864
Disposal to Landfill,1970-01-01 01:00:00+00:00,case_864
Coarse Screens,1969-12-31 16:00:00+00:00,case_2981
Fine Screens,1969-12-31 17:00:00+00:00,case_2981
Compacted Screenings,1969-12-31 18:00:00+00:00,case_2981
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_2981
Coarse Screens,1969-12-31 16:00:00+00:00,case_7560
Fine Screens,1969-12-31 17:00:00+00:00,case_7560
Compacted Screenings,1969-12-31 18:00:00+00:00,case_7560
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_7560
Coarse Screens,1969-12-31 16:00:00+00:00,case_9616
Fine Screens,1969-12-31 17:00:00+00:00,case_9616
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_9616
Bio-reactor Tanks,1969-12-31 19:00:00+00:00,case_9616
Bio-reactor Tanks,1969-12-31 20:00:00+00:00,case_9616
Bio-reactor Tanks,1969-12-31 21:00:00+00:00,case_9616
Bio-reactor Tanks,1969-12-31 22:00:00+00:00,case_9616
Bio-reactor Tanks,1969-12-31 23:00:00+00:00,case_9616
Final Clarifier,1970-01-01 00:00:00+00:00,case_9616
Chlorine Contact Basin,1970-01-01 01:00:00+00:00,case_9616
Pond,1970-01-01 02:00:00+00:00,case_9616
De-chlorination Pond,1970-01-01 03:00:00+00:00,case_9616
Cascade Aerator,1970-01-01 04:00:00+00:00,case_9616
Coarse Screens,1969-12-31 16:00:00+00:00,case_3120
Fine Screens,1969-12-31 17:00:00+00:00,case_3120
Compacted Screenings,1969-12-31 18:00:00+00:00,case_3120
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_3120
Coarse Screens,1969-12-31 16:00:00+00:00,case_7942
Fine Screens,1969-12-31 17:00:00+00:00,case_7942
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_7942
Bio-reactor Tanks,1969-12-31 19:00:00+00:00,case_7942
Gravity Thickening,1969-12-31 20:00:00+00:00,case_7942
Blend Tank,1969-12-31 21:00:00+00:00,case_7942
Anaerobic Digester,1969-12-31 22:00:00+00:00,case_7942
Storage Tank,1969-12-31 23:00:00+00:00,case_7942
Disposal to Landfill,1970-01-01 00:00:00+00:00,case_7942
Coarse Screens,1969-12-31 16:00:00+00:00,case_2223
Fine Screens,1969-12-31 17:00:00+00:00,case_2223
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_2223
Sludge Grinder,1969-12-31 19:00:00+00:00,case_2223
Blend Tank,1969-12-31 20:00:00+00:00,case_2223
Anaerobic Digester,1969-12-31 21:00:00+00:00,case_2223
Storage Tank,1969-12-31 22:00:00+00:00,case_2223
Disposal to Landfill,1969-12-31 23:00:00+00:00,case_2223
Coarse Screens,1969-12-31 16:00:00+00:00,case_110
Fine Screens,1969-12-31 17:00:00+00:00,case_110
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_110
Bio-reactor Tanks,1969-12-31 19:00:00+00:00,case_110
Final Clarifier,1969-12-31 20:00:00+00:00,case_110
Chlorine Contact Basin,1969-12-31 21:00:00+00:00,case_110
Pond,1969-12-31 22:00:00+00:00,case_110
De-chlorination Pond,1969-12-31 23:00:00+00:00,case_110
Cascade Aerator,1970-01-01 00:00:00+00:00,case_110
Coarse Screens,1969-12-31 16:00:00+00:00,case_9139
Fine Screens,1969-12-31 17:00:00+00:00,case_9139
Compacted Screenings,1969-12-31 18:00:00+00:00,case_9139
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_9139
Coarse Screens,1969-12-31 16:00:00+00:00,case_3744
Fine Screens,1969-12-31 17:00:00+00:00,case_3744
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_3744
Bio-reactor Tanks,1969-12-31 19:00:00+00:00,case_3744
Final Clarifier,1969-12-31 20:00:00+00:00,case_3744
Chlorine Contact Basin,1969-12-31 21:00:00+00:00,case_3744
Pond,1969-12-31 22:00:00+00:00,case_3744
De-chlorination Pond,1969-12-31 23:00:00+00:00,case_3744
Effluent Pumping Station,1970-01-01 00:00:00+00:00,case_3744
Coarse Screens,1969-12-31 16:00:00+00:00,case_2386
Fine Screens,1969-12-31 17:00:00+00:00,case_2386
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_2386
Bio-reactor Tanks,1969-12-31 19:00:00+00:00,case_2386
Bio-reactor Tanks,1969-12-31 20:00:00+00:00,case_2386
Bio-reactor Tanks,1969-12-31 21:00:00+00:00,case_2386
Bio-reactor Tanks,1969-12-31 22:00:00+00:00,case_2386
Bio-reactor Tanks,1969-12-31 23:00:00+00:00,case_2386
Gravity Thickening,1970-01-01 00:00:00+00:00,case_2386
Blend Tank,1970-01-01 01:00:00+00:00,case_2386
Anaerobic Digester,1970-01-01 02:00:00+00:00,case_2386
Coarse Screens,1969-12-31 16:00:00+00:00,case_6961
Fine Screens,1969-12-31 17:00:00+00:00,case_6961
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_6961
Sludge Grinder,1969-12-31 19:00:00+00:00,case_6961
Blend Tank,1969-12-31 20:00:00+00:00,case_6961
Anaerobic Digester,1969-12-31 21:00:00+00:00,case_6961
Coarse Screens,1969-12-31 16:00:00+00:00,case_565
Fine Screens,1969-12-31 17:00:00+00:00,case_565
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_565
Sludge Grinder,1969-12-31 19:00:00+00:00,case_565
Blend Tank,1969-12-31 20:00:00+00:00,case_565
Anaerobic Digester,1969-12-31 21:00:00+00:00,case_565
Coarse Screens,1969-12-31 16:00:00+00:00,case_2052
Fine Screens,1969-12-31 17:00:00+00:00,case_2052
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_2052
Sludge Grinder,1969-12-31 19:00:00+00:00,case_2052
Blend Tank,1969-12-31 20:00:00+00:00,case_2052
Anaerobic Digester,1969-12-31 21:00:00+00:00,case_2052
Coarse Screens,1969-12-31 16:00:00+00:00,case_7975
Fine Screens,1969-12-31 17:00:00+00:00,case_7975
Compacted Screenings,1969-12-31 18:00:00+00:00,case_7975
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_7975
Coarse Screens,1969-12-31 16:00:00+00:00,case_9006
Fine Screens,1969-12-31 17:00:00+00:00,case_9006
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_9006
Bio-reactor Tanks,1969-12-31 19:00:00+00:00,case_9006
Gravity Thickening,1969-12-31 20:00:00+00:00,case_9006
Blend Tank,1969-12-31 21:00:00+00:00,case_9006
Anaerobic Digester,1969-12-31 22:00:00+00:00,case_9006
Coarse Screens,1969-12-31 16:00:00+00:00,case_3407
Fine Screens,1969-12-31 17:00:00+00:00,case_3407
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_3407
Sludge Grinder,1969-12-31 19:00:00+00:00,case_3407
Blend Tank,1969-12-31 20:00:00+00:00,case_3407
Anaerobic Digester,1969-12-31 21:00:00+00:00,case_3407
Storage Tank,1969-12-31 22:00:00+00:00,case_3407
Disposal to Landfill,1969-12-31 23:00:00+00:00,case_3407
Coarse Screens,1969-12-31 16:00:00+00:00,case_7078
Fine Screens,1969-12-31 17:00:00+00:00,case_7078
Compacted Screenings,1969-12-31 18:00:00+00:00,case_7078
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_7078
Coarse Screens,1969-12-31 16:00:00+00:00,case_7232
Fine Screens,1969-12-31 17:00:00+00:00,case_7232
Compacted Screenings,1969-12-31 18:00:00+00:00,case_7232
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_7232
Coarse Screens,1969-12-31 16:00:00+00:00,case_1635
Fine Screens,1969-12-31 17:00:00+00:00,case_1635
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_1635
Bio-reactor Tanks,1969-12-31 19:00:00+00:00,case_1635
Bio-reactor Tanks,1969-12-31 20:00:00+00:00,case_1635
Final Clarifier,1969-12-31 21:00:00+00:00,case_1635
Chlorine Contact Basin,1969-12-31 22:00:00+00:00,case_1635
Pond,1969-12-31 23:00:00+00:00,case_1635
De-chlorination Pond,1970-01-01 00:00:00+00:00,case_1635
Effluent Pumping Station,1970-01-01 01:00:00+00:00,case_1635
Coarse Screens,1969-12-31 16:00:00+00:00,case_9028
Fine Screens,1969-12-31 17:00:00+00:00,case_9028
Compacted Screenings,1969-12-31 18:00:00+00:00,case_9028
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_9028
Coarse Screens,1969-12-31 16:00:00+00:00,case_7832
Fine Screens,1969-12-31 17:00:00+00:00,case_7832
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_7832
Sludge Grinder,1969-12-31 19:00:00+00:00,case_7832
Blend Tank,1969-12-31 20:00:00+00:00,case_7832
Anaerobic Digester,1969-12-31 21:00:00+00:00,case_7832
Storage Tank,1969-12-31 22:00:00+00:00,case_7832
Disposal to Landfill,1969-12-31 23:00:00+00:00,case_7832
Coarse Screens,1969-12-31 16:00:00+00:00,case_8417
Fine Screens,1969-12-31 17:00:00+00:00,case_8417
Compacted Screenings,1969-12-31 18:00:00+00:00,case_8417
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_8417
Coarse Screens,1969-12-31 16:00:00+00:00,case_5100
Fine Screens,1969-12-31 17:00:00+00:00,case_5100
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_5100
Bio-reactor Tanks,1969-12-31 19:00:00+00:00,case_5100
Final Clarifier,1969-12-31 20:00:00+00:00,case_5100
Chlorine Contact Basin,1969-12-31 21:00:00+00:00,case_5100
Pond,1969-12-31 22:00:00+00:00,case_5100
De-chlorination Pond,1969-12-31 23:00:00+00:00,case_5100
Cascade Aerator,1970-01-01 00:00:00+00:00,case_5100
Coarse Screens,1969-12-31 16:00:00+00:00,case_6338
Fine Screens,1969-12-31 17:00:00+00:00,case_6338
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_6338
Bio-reactor Tanks,1969-12-31 19:00:00+00:00,case_6338
Bio-reactor Tanks,1969-12-31 20:00:00+00:00,case_6338
Bio-reactor Tanks,1969-12-31 21:00:00+00:00,case_6338
Bio-reactor Tanks,1969-12-31 22:00:00+00:00,case_6338
Final Clarifier,1969-12-31 23:00:00+00:00,case_6338
Chlorine Contact Basin,1970-01-01 00:00:00+00:00,case_6338
Pond,1970-01-01 01:00:00+00:00,case_6338
De-chlorination Pond,1970-01-01 02:00:00+00:00,case_6338
Cascade Aerator,1970-01-01 03:00:00+00:00,case_6338
Coarse Screens,1969-12-31 16:00:00+00:00,case_8348
Fine Screens,1969-12-31 17:00:00+00:00,case_8348
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_8348
Sludge Grinder,1969-12-31 19:00:00+00:00,case_8348
Blend Tank,1969-12-31 20:00:00+00:00,case_8348
Anaerobic Digester,1969-12-31 21:00:00+00:00,case_8348
Coarse Screens,1969-12-31 16:00:00+00:00,case_2894
Fine Screens,1969-12-31 17:00:00+00:00,case_2894
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_2894
Sludge Grinder,1969-12-31 19:00:00+00:00,case_2894
Blend Tank,1969-12-31 20:00:00+00:00,case_2894
Anaerobic Digester,1969-12-31 21:00:00+00:00,case_2894
Storage Tank,1969-12-31 22:00:00+00:00,case_2894
Disposal to Landfill,1969-12-31 23:00:00+00:00,case_2894
Coarse Screens,1969-12-31 16:00:00+00:00,case_3657
Fine Screens,1969-12-31 17:00:00+00:00,case_3657
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_3657
Sludge Grinder,1969-12-31 19:00:00+00:00,case_3657
Blend Tank,1969-12-31 20:00:00+00:00,case_3657
Anaerobic Digester,1969-12-31 21:00:00+00:00,case_3657
Coarse Screens,1969-12-31 16:00:00+00:00,case_7209
Fine Screens,1969-12-31 17:00:00+00:00,case_7209
Compacted Screenings,1969-12-31 18:00:00+00:00,case_7209
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_7209
Coarse Screens,1969-12-31 16:00:00+00:00,case_9631
Fine Screens,1969-12-31 17:00:00+00:00,case_9631
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_9631
Sludge Grinder,1969-12-31 19:00:00+00:00,case_9631
Blend Tank,1969-12-31 20:00:00+00:00,case_9631
Anaerobic Digester,1969-12-31 21:00:00+00:00,case_9631
Coarse Screens,1969-12-31 16:00:00+00:00,case_9469
Fine Screens,1969-12-31 17:00:00+00:00,case_9469
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_9469
Sludge Grinder,1969-12-31 19:00:00+00:00,case_9469
Blend Tank,1969-12-31 20:00:00+00:00,case_9469
Anaerobic Digester,1969-12-31 21:00:00+00:00,case_9469
Coarse Screens,1969-12-31 16:00:00+00:00,case_9613
Fine Screens,1969-12-31 17:00:00+00:00,case_9613
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_9613
Bio-reactor Tanks,1969-12-31 19:00:00+00:00,case_9613
Final Clarifier,1969-12-31 20:00:00+00:00,case_9613
Chlorine Contact Basin,1969-12-31 21:00:00+00:00,case_9613
Pond,1969-12-31 22:00:00+00:00,case_9613
De-chlorination Pond,1969-12-31 23:00:00+00:00,case_9613
Effluent Pumping Station,1970-01-01 00:00:00+00:00,case_9613
Coarse Screens,1969-12-31 16:00:00+00:00,case_5698
Fine Screens,1969-12-31 17:00:00+00:00,case_5698
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_5698
Sludge Grinder,1969-12-31 19:00:00+00:00,case_5698
Blend Tank,1969-12-31 20:00:00+00:00,case_5698
Anaerobic Digester,1969-12-31 21:00:00+00:00,case_5698
Storage Tank,1969-12-31 22:00:00+00:00,case_5698
Disposal to Landfill,1969-12-31 23:00:00+00:00,case_5698
Coarse Screens,1969-12-31 16:00:00+00:00,case_1757
Fine Screens,1969-12-31 17:00:00+00:00,case_1757
Compacted Screenings,1969-12-31 18:00:00+00:00,case_1757
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_1757
Coarse Screens,1969-12-31 16:00:00+00:00,case_5861
Fine Screens,1969-12-31 17:00:00+00:00,case_5861
