case,activity,timestamp
15,Primary Clarifiers,2024-01-01 10:00:00
15,Sludge Grinder,2024-01-01 11:00:00
15,Blend Tank,2024-01-01 12:00:00
15,Anaerobic Digester,2024-01-01 13:00:00
16,Coarse Screens,2024-01-01 08:00:00
16,Fine Screens,2024-01-01 09:00:00
16,Primary Clarifiers,2024-01-01 10:00:00
16,Bio-reactor Tanks,2024-01-01 11:00:00
16,Gravity Thickening,2024-01-01 12:00:00
16,Blend Tank,2024-01-01 13:00:00
16,Anaerobic Digester,2024-01-01 14:00:00
16,Storage Tank,2024-01-01 15:00:00
16,Disposal to Landfill,2024-01-01 16:00:00
17,Coarse Screens,2024-01-01 08:00:00
17,Fine Screens,2024-01-01 09:00:00
17,Compacted Screenings,2024-01-01 10:00:00
17,Disposal to Landfill,2024-01-01 11:00:00
18,Coarse Screens,2024-01-01 08:00:00
18,Fine Screens,2024-01-01 09:00:00
18,Primary Clarifiers,2024-01-01 10:00:00
18,Bio-reactor Tanks,2024-01-01 11:00:00
18,Final Clarifier,2024-01-01 12:00:00
18,Chlorine Contact Basin,2024-01-01 13:00:00
18,Pond,2024-01-01 14:00:00
18,De-chlorination Pond,2024-01-01 15:00:00
18,Cascade Aerator,2024-01-01 16:00:00
19,Coarse Screens,2024-01-01 08:00:00
19,Fine Screens,2024-01-01 09:00:00
19,Primary Clarifiers,2024-01-01 10:00:00
19,Sludge Grinder,2024-01-01 11:00:00
19,Blend Tank,2024-01-01 12:00:00
19,Anaerobic Digester,2024-01-01 13:00:00
20,Coarse Screens,2024-01-01 08:00:00
20,Fine Screens,2024-01-01 09:00:00
20,Primary Clarifiers,2024-01-01 10:00:00
20,Bio-reactor Tanks,2024-01-01 11:00:00
20,Gravity Thickening,2024-01-01 12:00:00
20,Blend Tank,2024-01-01 13:00:00
20,Anaerobic Digester,2024-01-01 14:00:00
20,Storage Tank,2024-01-01 15:00:00
20,Disposal to Landfill,2024-01-01 16:00:00
21,Coarse Screens,2024-01-01 08:00:00
21,Fine Screens,2024-01-01 09:00:00
21,Primary Clarifiers,2024-01-01 10:00:00
21,Sludge Grinder,2024-01-01 11:00:00
21,Blend Tank,2024-01-01 12:00:00
21,Anaerobic Digester,2024-01-01 13:00:00
21,Storage Tank,2024-01-01 14:00:00
21,Disposal to Landfill,2024-01-01 15:00:00
22,Coarse Screens,2024-01-01 08:00:00
22,Fine Screens,2024-01-01 09:00:00
22,Primary Clarifiers,2024-01-01 10:00:00
22,Sludge Grinder,2024-01-01 11:00:00
22,Blend Tank,2024-01-01 12:00:00
22,Anaerobic Digester,2024-01-01 13:00:00
23,Coarse Screens,2024-01-01 08:00:00
23,Fine Screens,2024-01-01 09:00:00
23,Primary Clarifiers,2024-01-01 10:00:00
23,Bio-reactor Tanks,2024-01-01 11:00:00
23,Final Clarifier,2024-01-01 12:00:00
23,Chlorine Contact Basin,2024-01-01 13:00:00
23,Pond,2024-01-01 14:00:00
23,De-chlorination Pond,2024-01-01 15:00:00
23,Effluent Pumping Station,2024-01-01 16:00:00
24,Coarse Screens,2024-01-01 08:00:00
24,Fine Screens,2024-01-01 09:00:00
24,Compacted Screenings,2024-01-01 10:00:00
24,Disposal to Landfill,2024-01-01 11:00:00
25,Coarse Screens,2024-01-01 08:00:00
25,Fine Screens,2024-01-01 09:00:00
25,Compacted Screenings,2024-01-01 10:00:00
25,Disposal to Landfill,2024-01-01 11:00:00
26,Coarse Screens,2024-01-01 08:00:00
26,Fine Screens,2024-01-01 09:00:00
26,Primary Clarifiers,2024-01-01 10:00:00
26,Sludge Grinder,2024-01-01 11:00:00
26,Blend Tank,2024-01-01 12:00:00
26,Anaerobic Digester,2024-01-01 13:00:00
27,Coarse Screens,2024-01-01 08:00:00
27,Fine Screens,2024-01-01 09:00:00
27,Primary Clarifiers,2024-01-01 10:00:00
27,Bio-reactor Tanks,2024-01-01 11:00:00
27,Gravity Thickening,2024-01-01 12:00:00
27,Blend Tank,2024-01-01 13:00:00
27,Anaerobic Digester,2024-01-01 14:00:00
28,Coarse Screens,2024-01-01 08:00:00
28,Fine Screens,2024-01-01 09:00:00
28,Primary Clarifiers,2024-01-01 10:00:00
28,Bio-reactor Tanks,2024-01-01 11:00:00
28,Final Clarifier,2024-01-01 12:00:00
28,Chlorine Contact Basin,2024-01-01 13:00:00
28,Pond,2024-01-01 14:00:00
28,De-chlorination Pond,2024-01-01 15:00:00
28,Effluent Pumping Station,2024-01-01 16:00:00
29,Coarse Screens,2024-01-01 08:00:00
29,Fine Screens,2024-01-01 09:00:00
29,Primary Clarifiers,2024-01-01 10:00:00
29,Sludge Grinder,2024-01-01 11:00:00
29,Blend Tank,2024-01-01 12:00:00
29,Anaerobic Digester,2024-01-01 13:00:00
29,Storage Tank,2024-01-01 14:00:00
29,Disposal to Landfill,2024-01-01 15:00:00
30,Coarse Screens,2024-01-01 08:00:00
30,Fine Screens,2024-01-01 09:00:00
30,Primary Clarifiers,2024-01-01 10:00:00
30,Bio-reactor Tanks,2024-01-01 11:00:00
30,Final Clarifier,2024-01-01 12:00:00
30,Chlorine Contact Basin,2024-01-01 13:00:00
30,Pond,2024-01-01 14:00:00
30,De-chlorination Pond,2024-01-01 15:00:00
30,Effluent Pumping Station,2024-01-01 16:00:00
31,Coarse Screens,2024-01-01 08:00:00
31,Fine Screens,2024-01-01 09:00:00
31,Compacted Screenings,2024-01-01 10:00:00
31,Disposal to Landfill,2024-01-01 11:00:00
32,Coarse Screens,2024-01-01 08:00:00
32,Fine Screens,2024-01-01 09:00:00
32,Compacted Screenings,2024-01-01 10:00:00
32,Disposal to Landfill,2024-01-01 11:00:00
33,Coarse Screens,2024-01-01 08:00:00
33,Fine Screens,2024-01-01 09:00:00
33,Primary Clarifiers,2024-01-01 10:00:00
33,Sludge Grinder,2024-01-01 11:00:00
33,Blend Tank,2024-01-01 12:00:00
33,Anaerobic Digester,2024-01-01 13:00:00
33,Storage Tank,2024-01-01 14:00:00
33,Disposal to Landfill,2024-01-01 15:00:00
34,Coarse Screens,2024-01-01 08:00:00
34,Fine Screens,2024-01-01 09:00:00
34,Primary Clarifiers,2024-01-01 10:00:00
34,Bio-reactor Tanks,2024-01-01 11:00:00
34,Wastewater Centrifuge De-watering Thickening,2024-01-01 12:00:00
34,Blend Tank,2024-01-01 13:00:00
34,Anaerobic Digester,2024-01-01 14:00:00
34,Storage Tank,2024-01-01 15:00:00
34,Disposal to Landfill,2024-01-01 16:00:00
35,Coarse Screens,2024-01-01 08:00:00
35,Fine Screens,2024-01-01 09:00:00
35,Compacted Screenings,2024-01-01 10:00:00
35,Disposal to Landfill,2024-01-01 11:00:00
36,Coarse Screens,2024-01-01 08:00:00
36,Fine Screens,2024-01-01 09:00:00
36,Compacted Screenings,2024-01-01 10:00:00
36,Disposal to Landfill,2024-01-01 11:00:00
37,Coarse Screens,2024-01-01 08:00:00
37,Fine Screens,2024-01-01 09:00:00
37,Primary Clarifiers,2024-01-01 10:00:00
37,Sludge Grinder,2024-01-01 11:00:00
37,Blend Tank,2024-01-01 12:00:00
37,Anaerobic Digester,2024-01-01 13:00:00
38,Coarse Screens,2024-01-01 08:00:00
38,Fine Screens,2024-01-01 09:00:00
38,Compacted Screenings,2024-01-01 10:00:00
38,Disposal to Landfill,2024-01-01 11:00:00
39,Coarse Screens,2024-01-01 08:00:00
39,Fine Screens,2024-01-01 09:00:00
39,Primary Clarifiers,2024-01-01 10:00:00
39,Bio-reactor Tanks,2024-01-01 11:00:00
39,Final Clarifier,2024-01-01 12:00:00
39,Chlorine Contact Basin,2024-01-01 13:00:00
39,Pond,2024-01-01 14:00:00
39,De-chlorination Pond,2024-01-01 15:00:00
39,Cascade Aerator,2024-01-01 16:00:00
40,Coarse Screens,2024-01-01 08:00:00
40,Fine Screens,2024-01-01 09:00:00
40,Primary Clarifiers,2024-01-01 10:00:00
40,Bio-reactor Tanks,2024-01-01 11:00:00
40,Gravity Thickening,2024-01-01 12:00:00
40,Blend Tank,2024-01-01 13:00:00
40,Anaerobic Digester,2024-01-01 14:00:00
40,Storage Tank,2024-01-01 15:00:00
40,Disposal to Landfill,2024-01-01 16:00:00
41,Coarse Screens,2024-01-01 08:00:00
41,Fine Screens,2024-01-01 09:00:00
41,Primary Clarifiers,2024-01-01 10:00:00
41,Sludge Grinder,2024-01-01 11:00:00
41,Blend Tank,2024-01-01 12:00:00
41,Anaerobic Digester,2024-01-01 13:00:00
41,Storage Tank,2024-01-01 14:00:00
41,Disposal to Landfill,2024-01-01 15:00:00
42,Coarse Screens,2024-01-01 08:00:00
42,Fine Screens,2024-01-01 09:00:00
42,Primary Clarifiers,2024-01-01 10:00:00
42,Sludge Grinder,2024-01-01 11:00:00
42,Blend Tank,2024-01-01 12:00:00
42,Anaerobic Digester,2024-01-01 13:00:00
42,Storage Tank,2024-01-01 14:00:00
42,Disposal to Landfill,2024-01-01 15:00:00
43,Coarse Screens,2024-01-01 08:00:00
43,Fine Screens,2024-01-01 09:00:00
43,Primary Clarifiers,2024-01-01 10:00:00
43,Bio-reactor Tanks,2024-01-01 11:00:00
43,Final Clarifier,2024-01-01 12:00:00
43,Chlorine Contact Basin,2024-01-01 13:00:00
43,Pond,2024-01-01 14:00:00
43,De-chlorination Pond,2024-01-01 15:00:00
43,Effluent Pumping Station,2024-01-01 16:00:00
44,Coarse Screens,2024-01-01 08:00:00
44,Fine Screens,2024-01-01 09:00:00
44,Compacted Screenings,2024-01-01 10:00:00
44,Disposal to Landfill,2024-01-01 11:00:00
45,Coarse Screens,2024-01-01 08:00:00
45,Fine Screens,2024-01-01 09:00:00
45,Primary Clarifiers,2024-01-01 10:00:00
45,Sludge Grinder,2024-01-01 11:00:00
45,Blend Tank,2024-01-01 12:00:00
45,Anaerobic Digester,2024-01-01 13:00:00
45,Storage Tank,2024-01-01 14:00:00
45,Disposal to Landfill,2024-01-01 15:00:00
46,Coarse Screens,2024-01-01 08:00:00
46,Fine Screens,2024-01-01 09:00:00
46,Compacted Screenings,2024-01-01 10:00:00
46,Disposal to Landfill,2024-01-01 11:00:00
47,Coarse Screens,2024-01-01 08:00:00
47,Fine Screens,2024-01-01 09:00:00
47,Primary Clarifiers,2024-01-01 10:00:00
47,Bio-reactor Tanks,2024-01-01 11:00:00
47,Final Clarifier,2024-01-01 12:00:00
47,Chlorine Contact Basin,2024-01-01 13:00:00
47,Pond,2024-01-01 14:00:00
47,De-chlorination Pond,2024-01-01 15:00:00
47,Cascade Aerator,2024-01-01 16:00:00
48,Coarse Screens,2024-01-01 08:00:00
48,Fine Screens,2024-01-01 09:00:00
48,Primary Clarifiers,2024-01-01 10:00:00
48,Bio-reactor Tanks,2024-01-01 11:00:00
48,Wastewater Centrifuge De-watering Thickening,2024-01-01 12:00:00
48,Blend Tank,2024-01-01 13:00:00
48,Anaerobic Digester,2024-01-01 14:00:00
49,Coarse Screens,2024-01-01 08:00:00
49,Fine Screens,2024-01-01 09:00:00
49,Compacted Screenings,2024-01-01 10:00:00
49,Disposal to Landfill,2024-01-01 11:00:00
50,Coarse Screens,2024-01-01 08:00:00
50,Fine Screens,2024-01-01 09:00:00
50,Compacted Screenings,2024-01-01 10:00:00
50,Disposal to Landfill,2024-01-01 11:00:00
51,Coarse Screens,2024-01-01 08:00:00
51,Fine Screens,2024-01-01 09:00:00
51,Primary Clarifiers,2024-01-01 10:00:00
51,Sludge Grinder,2024-01-01 11:00:00
51,Blend Tank,2024-01-01 12:00:00
51,Anaerobic Digester,2024-01-01 13:00:00
52,Coarse Screens,2024-01-01 08:00:00
52,Fine Screens,2024-01-01 09:00:00
52,Primary Clarifiers,2024-01-01 10:00:00
52,Sludge Grinder,2024-01-01 11:00:00
52,Blend Tank,2024-01-01 12:00:00
52,Anaerobic Digester,2024-01-01 13:00:00
52,Storage Tank,2024-01-01 14:00:00
52,Disposal to Landfill,2024-01-01 15:00:00
53,Coarse Screens,2024-01-01 08:00:00
53,Fine Screens,2024-01-01 09:00:00
53,Compacted Screenings,2024-01-01 10:00:00
53,Disposal to Landfill,2024-01-01 11:00:00
54,Coarse Screens,2024-01-01 08:00:00
54,Fine Screens,2024-01-01 09:00:00
54,Primary Clarifiers,2024-01-01 10:00:00
54,Sludge Grinder,2024-01-01 11:00:00
54,Blend Tank,2024-01-01 12:00:00
54,Anaerobic Digester,2024-01-01 13:00:00
55,Coarse Screens,2024-01-01 08:00:00
55,Fine Screens,2024-01-01 09:00:00
55,Compacted Screenings,2024-01-01 10:00:00
55,Disposal to Landfill,2024-01-01 11:00:00
56,Coarse Screens,2024-01-01 08:00:00
56,Fine Screens,2024-01-01 09:00:00
56,Primary Clarifiers,2024-01-01 10:00:00
56,Bio-reactor Tanks,2024-01-01 11:00:00
56,Final Clarifier,2024-01-01 12:00:00
56,Chlorine Contact Basin,2024-01-01 13:00:00
56,Pond,2024-01-01 14:00:00
56,De-chlorination Pond,2024-01-01 15:00:00
56,Effluent Pumping Station,2024-01-01 16:00:00
57,Coarse Screens,2024-01-01 08:00:00
57,Fine Screens,2024-01-01 09:00:00
57,Primary Clarifiers,2024-01-01 10:00:00
57,Sludge Grinder,2024-01-01 11:00:00
57,Blend Tank,2024-01-01 12:00:00
57,Anaerobic Digester,2024-01-01 13:00:00
58,Coarse Screens,2024-01-01 08:00:00
58,Fine Screens,2024-01-01 09:00:00
58,Primary Clarifiers,2024-01-01 10:00:00
58,Sludge Grinder,2024-01-01 11:00:00
58,Blend Tank,2024-01-01 12:00:00
58,Anaerobic Digester,2024-01-01 13:00:00
59,Coarse Screens,2024-01-01 08:00:00
59,Fine Screens,2024-01-01 09:00:00
59,Primary Clarifiers,2024-01-01 10:00:00
59,Sludge Grinder,2024-01-01 11:00:00
59,Blend Tank,2024-01-01 12:00:00
59,Anaerobic Digester,2024-01-01 13:00:00
59,Storage Tank,2024-01-01 14:00:00
59,Disposal to Landfill,2024-01-01 15:00:00
60,Coarse Screens,2024-01-01 08:00:00
60,Fine Screens,2024-01-01 09:00:00
60,Primary Clarifiers,2024-01-01 10:00:00
60,Sludge Grinder,2024-01-01 11:00:00
60,Blend Tank,2024-01-01 12:00:00
60,Anaerobic Digester,2024-01-01 13:00:00
60,Storage Tank,2024-01-01 14:00:00
60,Disposal to Landfill,2024-01-01 15:00:00
61,Coarse Screens,2024-01-01 08:00:00
61,Fine Screens,2024-01-01 09:00:00
61,Compacted Screenings,2024-01-01 10:00:00
61,Disposal to Landfill,2024-01-01 11:00:00
62,Coarse Screens,2024-01-01 08:00:00
62,Fine Screens,2024-01-01 09:00:00
62,Compacted Screenings,2024-01-01 10:00:00
62,Disposal to Landfill,2024-01-01 11:00:00
63,Coarse Screens,2024-01-01 08:00:00
63,Fine Screens,2024-01-01 09:00:00
63,Primary Clarifiers,2024-01-01 10:00:00
63,Sludge Grinder,2024-01-01 11:00:00
63,Blend Tank,2024-01-01 12:00:00
63,Anaerobic Digester,2024-01-01 13:00:00
64,Coarse Screens,2024-01-01 08:00:00
64,Fine Screens,2024-01-01 09:00:00
64,Primary Clarifiers,2024-01-01 10:00:00
64,Bio-reactor Tanks,2024-01-01 11:00:00
64,Final Clarifier,2024-01-01 12:00:00
64,Chlorine Contact Basin,2024-01-01 13:00:00
64,Pond,2024-01-01 14:00:00
64,De-chlorination Pond,2024-01-01 15:00:00
64,Cascade Aerator,2024-01-01 16:00:00
65,Coarse Screens,2024-01-01 08:00:00
65,Fine Screens,2024-01-01 09:00:00
65,Compacted Screenings,2024-01-01 10:00:00
65,Disposal to Landfill,2024-01-01 11:00:00
66,Coarse Screens,2024-01-01 08:00:00
66,Fine Screens,2024-01-01 09:00:00
66,Primary Clarifiers,2024-01-01 10:00:00
66,Bio-reactor Tanks,2024-01-01 11:00:00
66,Final Clarifier,2024-01-01 12:00:00
66,Chlorine Contact Basin,2024-01-01 13:00:00
66,Pond,2024-01-01 14:00:00
66,De-chlorination Pond,2024-01-01 15:00:00
66,Cascade Aerator,2024-01-01 16:00:00
67,Coarse Screens,2024-01-01 08:00:00
67,Fine Screens,2024-01-01 09:00:00
67,Compacted Screenings,2024-01-01 10:00:00
67,Disposal to Landfill,2024-01-01 11:00:00
68,Coarse Screens,2024-01-01 08:00:00
68,Fine Screens,2024-01-01 09:00:00
68,Compacted Screenings,2024-01-01 10:00:00
68,Disposal to Landfill,2024-01-01 11:00:00
69,Coarse Screens,2024-01-01 08:00:00
69,Fine Screens,2024-01-01 09:00:00
69,Primary Clarifiers,2024-01-01 10:00:00
69,Bio-reactor Tanks,2024-01-01 11:00:00
69,Final Clarifier,2024-01-01 12:00:00
69,Chlorine Contact Basin,2024-01-01 13:00:00
69,Pond,2024-01-01 14:00:00
69,De-chlorination Pond,2024-01-01 15:00:00
69,Cascade Aerator,2024-01-01 16:00:00
70,Coarse Screens,2024-01-01 08:00:00
70,Fine Screens,2024-01-01 09:00:00
70,Primary Clarifiers,2024-01-01 10:00:00
70,Bio-reactor Tanks,2024-01-01 11:00:00
70,Final Clarifier,2024-01-01 12:00:00
70,Chlorine Contact Basin,2024-01-01 13:00:00
70,Pond,2024-01-01 14:00:00
70,De-chlorination Pond,2024-01-01 15:00:00
70,Cascade Aerator,2024-01-01 16:00:00
71,Coarse Screens,2024-01-01 08:00:00
71,Fine Screens,2024-01-01 09:00:00
71,Compacted Screenings,2024-01-01 10:00:00
71,Disposal to Landfill,2024-01-01 11:00:00
72,Coarse Screens,2024-01-01 08:00:00
72,Fine Screens,2024-01-01 09:00:00
72,Primary Clarifiers,2024-01-01 10:00:00
72,Bio-reactor Tanks,2024-01-01 11:00:00
72,Final Clarifier,2024-01-01 12:00:00
72,Chlorine Contact Basin,2024-01-01 13:00:00
72,Pond,2024-01-01 14:00:00
72,De-chlorination Pond,2024-01-01 15:00:00
72,Cascade Aerator,2024-01-01 16:00:00
73,Coarse Screens,2024-01-01 08:00:00
73,Fine Screens,2024-01-01 09:00:00
73,Primary Clarifiers,2024-01-01 10:00:00
73,Bio-reactor Tanks,2024-01-01 11:00:00
73,Final Clarifier,2024-01-01 12:00:00
73,Chlorine Contact Basin,2024-01-01 13:00:00
73,Pond,2024-01-01 14:00:00
73,De-chlorination Pond,2024-01-01 15:00:00
73,Cascade Aerator,2024-01-01 16:00:00
74,Coarse Screens,2024-01-01 08:00:00
74,Fine Screens,2024-01-01 09:00:00
74,Primary Clarifiers,2024-01-01 10:00:00
74,Sludge Grinder,2024-01-01 11:00:00
74,Blend Tank,2024-01-01 12:00:00
74,Anaerobic Digester,2024-01-01 13:00:00
75,Coarse Screens,2024-01-01 08:00:00
75,Fine Screens,2024-01-01 09:00:00
75,Compacted Screenings,2024-01-01 10:00:00
75,Disposal to Landfill,2024-01-01 11:00:00
76,Coarse Screens,2024-01-01 08:00:00
76,Fine Screens,2024-01-01 09:00:00
76,Compacted Screenings,2024-01-01 10:00:00
76,Disposal to Landfill,2024-01-01 11:00:00
77,Coarse Screens,2024-01-01 08:00:00
77,Fine Screens,2024-01-01 09:00:00
77,Primary Clarifiers,2024-01-01 10:00:00
77,Sludge Grinder,2024-01-01 11:00:00
77,Blend Tank,2024-01-01 12:00:00
77,Anaerobic Digester,2024-01-01 13:00:00
78,Coarse Screens,2024-01-01 08:00:00
78,Fine Screens,2024-01-01 09:00:00
78,Primary Clarifiers,2024-01-01 10:00:00
78,Sludge Grinder,2024-01-01 11:00:00
78,Blend Tank,2024-01-01 12:00:00
78,Anaerobic Digester,2024-01-01 13:00:00
79,Coarse Screens,2024-01-01 08:00:00
79,Fine Screens,2024-01-01 09:00:00
79,Compacted Screenings,2024-01-01 10:00:00
79,Disposal to Landfill,2024-01-01 11:00:00
80,Coarse Screens,2024-01-01 08:00:00
80,Fine Screens,2024-01-01 09:00:00
80,Compacted Screenings,2024-01-01 10:00:00
80,Disposal to Landfill,2024-01-01 11:00:00
81,Coarse Screens,2024-01-01 08:00:00
81,Fine Screens,2024-01-01 09:00:00
81,Primary Clarifiers,2024-01-01 10:00:00
81,Bio-reactor Tanks,2024-01-01 11:00:00
81,Gravity Thickening,2024-01-01 12:00:00
81,Blend Tank,2024-01-01 13:00:00
81,Anaerobic Digester,2024-01-01 14:00:00
81,Storage Tank,2024-01-01 15:00:00
81,Disposal to Landfill,2024-01-01 16:00:00
82,Coarse Screens,2024-01-01 08:00:00
82,Fine Screens,2024-01-01 09:00:00
82,Primary Clarifiers,2024-01-01 10:00:00
82,Bio-reactor Tanks,2024-01-01 11:00:00
82,Wastewater Centrifuge De-watering Thickening,2024-01-01 12:00:00
82,Blend Tank,2024-01-01 13:00:00
82,Anaerobic Digester,2024-01-01 14:00:00
83,Coarse Screens,2024-01-01 08:00:00
83,Fine Screens,2024-01-01 09:00:00
83,Compacted Screenings,2024-01-01 10:00:00
83,Disposal to Landfill,2024-01-01 11:00:00
84,Coarse Screens,2024-01-01 08:00:00
84,Fine Screens,2024-01-01 09:00:00
84,Compacted Screenings,2024-01-01 10:00:00
84,Disposal to Landfill,2024-01-01 11:00:00
85,Coarse Screens,2024-01-01 08:00:00
85,Fine Screens,2024-01-01 09:00:00
85,Compacted Screenings,2024-01-01 10:00:00
85,Disposal to Landfill,2024-01-01 11:00:00
86,Coarse Screens,2024-01-01 08:00:00
86,Fine Screens,2024-01-01 09:00:00
86,Compacted Screenings,2024-01-01 10:00:00
86,Disposal to Landfill,2024-01-01 11:00:00
87,Coarse Screens,2024-01-01 08:00:00
87,Fine Screens,2024-01-01 09:00:00
87,Compacted Screenings,2024-01-01 10:00:00
87,Disposal to Landfill,2024-01-01 11:00:00
88,Coarse Screens,2024-01-01 08:00:00
88,Fine Screens,2024-01-01 09:00:00
88,Primary Clarifiers,2024-01-01 10:00:00
88,Bio-reactor Tanks,2024-01-01 11:00:00
88,Final Clarifier,2024-01-01 12:00:00
88,Chlorine Contact Basin,2024-01-01 13:00:00
88,Pond,2024-01-01 14:00:00
88,De-chlorination Pond,2024-01-01 15:00:00
88,Cascade Aerator,2024-01-01 16:00:00
89,Coarse Screens,2024-01-01 08:00:00
89,Fine Screens,2024-01-01 09:00:00
89,Compacted Screenings,2024-01-01 10:00:00
89,Disposal to Landfill,2024-01-01 11:00:00
90,Coarse Screens,2024-01-01 08:00:00
90,Fine Screens,2024-01-01 09:00:00
90,Primary Clarifiers,2024-01-01 10:00:00
90,Sludge Grinder,2024-01-01 11:00:00
90,Blend Tank,2024-01-01 12:00:00
90,Anaerobic Digester,2024-01-01 13:00:00
91,Coarse Screens,2024-01-01 08:00:00
91,Fine Screens,2024-01-01 09:00:00
91,Compacted Screenings,2024-01-01 10:00:00
91,Disposal to Landfill,2024-01-01 11:00:00
92,Coarse Screens,2024-01-01 08:00:00
92,Fine Screens,2024-01-01 09:00:00
92,Compacted Screenings,2024-01-01 10:00:00
92,Disposal to Landfill,2024-01-01 11:00:00
93,Coarse Screens,2024-01-01 08:00:00
93,Fine Screens,2024-01-01 09:00:00
93,Compacted Screenings,2024-01-01 10:00:00
93,Disposal to Landfill,2024-01-01 11:00:00
94,Coarse Screens,2024-01-01 08:00:00
94,Fine Screens,2024-01-01 09:00:00
94,Compacted Screenings,2024-01-01 10:00:00
94,Disposal to Landfill,2024-01-01 11:00:00
95,Coarse Screens,2024-01-01 08:00:00
95,Fine Screens,2024-01-01 09:00:00
95,Compacted Screenings,2024-01-01 10:00:00
95,Disposal to Landfill,2024-01-01 11:00:00
96,Coarse Screens,2024-01-01 08:00:00
96,Fine Screens,2024-01-01 09:00:00
96,Compacted Screenings,2024-01-01 10:00:00
96,Disposal to Landfill,2024-01-01 11:00:00
