activity,lifecycle:transition,timestamp,case
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_964
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_964
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_964
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_4917
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_4917
Fine Screens,start,1969-12-31 16:35:00+00:00,case_4917
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_4917
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_4917
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_4917
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_4917
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_4917
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_1650
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_1650
Fine Screens,start,1969-12-31 16:35:00+00:00,case_1650
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_1650
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_1650
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_1650
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_1650
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_1650
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_1916
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_1916
Fine Screens,start,1969-12-31 16:35:00+00:00,case_1916
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_1916
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_1916
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_1916
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_1916
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_1916
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_2488
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_2488
Fine Screens,start,1969-12-31 16:35:00+00:00,case_2488
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_2488
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_2488
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_2488
Sludge Grinder,start,1969-12-31 17:51:00+00:00,case_2488
Sludge Grinder,complete,1969-12-31 18:26:00+00:00,case_2488
Blend Tank,start,1969-12-31 18:33:00+00:00,case_2488
Blend Tank,complete,1969-12-31 19:43:00+00:00,case_2488
Anaerobic Digester,start,1969-12-31 19:58:00+00:00,case_2488
Anaerobic Digester,complete,1969-12-31 20:28:00+00:00,case_2488
Storage Tank,start,1969-12-31 20:43:00+00:00,case_2488
Storage Tank,complete,1969-12-31 21:28:00+00:00,case_2488
Disposal to Landfill,start,1969-12-31 21:33:00+00:00,case_2488
Disposal to Landfill,complete,1969-12-31 21:53:00+00:00,case_2488
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_3698
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_3698
Fine Screens,start,1969-12-31 16:35:00+00:00,case_3698
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_3698
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_3698
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_3698
Sludge Grinder,start,1969-12-31 17:51:00+00:00,case_3698
Sludge Grinder,complete,1969-12-31 18:26:00+00:00,case_3698
Blend Tank,start,1969-12-31 18:33:00+00:00,case_3698
Blend Tank,complete,1969-12-31 19:43:00+00:00,case_3698
Anaerobic Digester,start,1969-12-31 19:58:00+00:00,case_3698
Anaerobic Digester,complete,1969-12-31 20:28:00+00:00,case_3698
Storage Tank,start,1969-12-31 20:43:00+00:00,case_3698
Storage Tank,complete,1969-12-31 21:28:00+00:00,case_3698
Disposal to Landfill,start,1969-12-31 21:33:00+00:00,case_3698
Disposal to Landfill,complete,1969-12-31 21:53:00+00:00,case_3698
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_580
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_580
Fine Screens,start,1969-12-31 16:35:00+00:00,case_580
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_580
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_580
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_580
Sludge Grinder,start,1969-12-31 17:51:00+00:00,case_580
Sludge Grinder,complete,1969-12-31 18:26:00+00:00,case_580
Blend Tank,start,1969-12-31 18:33:00+00:00,case_580
Blend Tank,complete,1969-12-31 19:43:00+00:00,case_580
Anaerobic Digester,start,1969-12-31 19:58:00+00:00,case_580
Anaerobic Digester,complete,1969-12-31 20:28:00+00:00,case_580
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_1980
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_1980
Fine Screens,start,1969-12-31 16:35:00+00:00,case_1980
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_1980
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_1980
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_1980
Bio-reactor Tanks,start,1969-12-31 17:51:00+00:00,case_1980
Bio-reactor Tanks,complete,1969-12-31 18:41:00+00:00,case_1980
Bio-reactor Tanks,start,1969-12-31 18:51:00+00:00,case_1980
Bio-reactor Tanks,complete,1969-12-31 19:41:00+00:00,case_1980
Bio-reactor Tanks,start,1969-12-31 19:51:00+00:00,case_1980
Bio-reactor Tanks,complete,1969-12-31 20:41:00+00:00,case_1980
Bio-reactor Tanks,start,1969-12-31 20:51:00+00:00,case_1980
Bio-reactor Tanks,complete,1969-12-31 21:41:00+00:00,case_1980
Dissolved-Air Flotation Thickening,start,1969-12-31 21:51:00+00:00,case_1980
Dissolved-Air Flotation Thickening,complete,1969-12-31 23:11:00+00:00,case_1980
Blend Tank,start,1969-12-31 23:31:00+00:00,case_1980
Blend Tank,complete,1970-01-01 00:41:00+00:00,case_1980
Anaerobic Digester,start,1970-01-01 00:56:00+00:00,case_1980
Anaerobic Digester,complete,1970-01-01 01:26:00+00:00,case_1980
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_2603
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_2603
Fine Screens,start,1969-12-31 16:35:00+00:00,case_2603
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_2603
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_2603
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_2603
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_2603
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_2603
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_2147
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_2147
Fine Screens,start,1969-12-31 16:35:00+00:00,case_2147
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_2147
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_2147
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_2147
Bio-reactor Tanks,start,1969-12-31 17:51:00+00:00,case_2147
Bio-reactor Tanks,complete,1969-12-31 18:41:00+00:00,case_2147
Bio-reactor Tanks,start,1969-12-31 18:51:00+00:00,case_2147
Bio-reactor Tanks,complete,1969-12-31 19:41:00+00:00,case_2147
Bio-reactor Tanks,start,1969-12-31 19:51:00+00:00,case_2147
Bio-reactor Tanks,complete,1969-12-31 20:41:00+00:00,case_2147
Dissolved-Air Flotation Thickening,start,1969-12-31 20:51:00+00:00,case_2147
Dissolved-Air Flotation Thickening,complete,1969-12-31 22:11:00+00:00,case_2147
Blend Tank,start,1969-12-31 22:31:00+00:00,case_2147
Blend Tank,complete,1969-12-31 23:41:00+00:00,case_2147
Anaerobic Digester,start,1969-12-31 23:56:00+00:00,case_2147
Anaerobic Digester,complete,1970-01-01 00:26:00+00:00,case_2147
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_3175
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_3175
Fine Screens,start,1969-12-31 16:35:00+00:00,case_3175
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_3175
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_3175
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_3175
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_3175
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_3175
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_1338
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_1338
Fine Screens,start,1969-12-31 16:35:00+00:00,case_1338
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_1338
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_1338
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_1338
Sludge Grinder,start,1969-12-31 17:51:00+00:00,case_1338
Sludge Grinder,complete,1969-12-31 18:26:00+00:00,case_1338
Blend Tank,start,1969-12-31 18:33:00+00:00,case_1338
Blend Tank,complete,1969-12-31 19:43:00+00:00,case_1338
Anaerobic Digester,start,1969-12-31 19:58:00+00:00,case_1338
Anaerobic Digester,complete,1969-12-31 20:28:00+00:00,case_1338
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_297
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_297
Fine Screens,start,1969-12-31 16:35:00+00:00,case_297
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_297
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_297
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_297
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_297
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_297
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_770
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_770
Fine Screens,start,1969-12-31 16:35:00+00:00,case_770
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_770
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_770
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_770
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_770
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_770
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_2137
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_2137
Fine Screens,start,1969-12-31 16:35:00+00:00,case_2137
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_2137
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_2137
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_2137
Sludge Grinder,start,1969-12-31 17:51:00+00:00,case_2137
Sludge Grinder,complete,1969-12-31 18:26:00+00:00,case_2137
Blend Tank,start,1969-12-31 18:33:00+00:00,case_2137
Blend Tank,complete,1969-12-31 19:43:00+00:00,case_2137
Anaerobic Digester,start,1969-12-31 19:58:00+00:00,case_2137
Anaerobic Digester,complete,1969-12-31 20:28:00+00:00,case_2137
Storage Tank,start,1969-12-31 20:43:00+00:00,case_2137
Storage Tank,complete,1969-12-31 21:28:00+00:00,case_2137
Disposal to Landfill,start,1969-12-31 21:33:00+00:00,case_2137
Disposal to Landfill,complete,1969-12-31 21:53:00+00:00,case_2137
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_2501
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_2501
Fine Screens,start,1969-12-31 16:35:00+00:00,case_2501
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_2501
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_2501
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_2501
Bio-reactor Tanks,start,1969-12-31 17:51:00+00:00,case_2501
Bio-reactor Tanks,complete,1969-12-31 18:41:00+00:00,case_2501
Bio-reactor Tanks,start,1969-12-31 18:51:00+00:00,case_2501
Bio-reactor Tanks,complete,1969-12-31 19:41:00+00:00,case_2501
Bio-reactor Tanks,start,1969-12-31 19:51:00+00:00,case_2501
Bio-reactor Tanks,complete,1969-12-31 20:41:00+00:00,case_2501
Final Clarifier,start,1969-12-31 20:51:00+00:00,case_2501
Final Clarifier,complete,1969-12-31 21:21:00+00:00,case_2501
Chlorine Contact Basin,start,1969-12-31 21:26:00+00:00,case_2501
Chlorine Contact Basin,complete,1969-12-31 21:56:00+00:00,case_2501
Pond,start,1969-12-31 22:01:00+00:00,case_2501
Pond,complete,1969-12-31 22:21:00+00:00,case_2501
De-chlorination Pond,start,1969-12-31 22:31:00+00:00,case_2501
De-chlorination Pond,complete,1969-12-31 23:11:00+00:00,case_2501
Effluent Pumping Station,start,1969-12-31 23:31:00+00:00,case_2501
Effluent Pumping Station,complete,1970-01-01 00:21:00+00:00,case_2501
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_3469
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_3469
Fine Screens,start,1969-12-31 16:35:00+00:00,case_3469
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_3469
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_3469
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_3469
Bio-reactor Tanks,start,1969-12-31 17:51:00+00:00,case_3469
Bio-reactor Tanks,complete,1969-12-31 18:41:00+00:00,case_3469
Dissolved-Air Flotation Thickening,start,1969-12-31 18:51:00+00:00,case_3469
Dissolved-Air Flotation Thickening,complete,1969-12-31 20:11:00+00:00,case_3469
Blend Tank,start,1969-12-31 20:31:00+00:00,case_3469
Blend Tank,complete,1969-12-31 21:41:00+00:00,case_3469
Anaerobic Digester,start,1969-12-31 21:56:00+00:00,case_3469
Anaerobic Digester,complete,1969-12-31 22:26:00+00:00,case_3469
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_1168
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_1168
Fine Screens,start,1969-12-31 16:35:00+00:00,case_1168
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_1168
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_1168
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_1168
Sludge Grinder,start,1969-12-31 17:51:00+00:00,case_1168
Sludge Grinder,complete,1969-12-31 18:26:00+00:00,case_1168
Blend Tank,start,1969-12-31 18:33:00+00:00,case_1168
Blend Tank,complete,1969-12-31 19:43:00+00:00,case_1168
Anaerobic Digester,start,1969-12-31 19:58:00+00:00,case_1168
Anaerobic Digester,complete,1969-12-31 20:28:00+00:00,case_1168
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_1403
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_1403
Fine Screens,start,1969-12-31 16:35:00+00:00,case_1403
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_1403
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_1403
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_1403
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_1403
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_1403
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_4847
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_4847
Fine Screens,start,1969-12-31 16:35:00+00:00,case_4847
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_4847
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_4847
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_4847
Bio-reactor Tanks,start,1969-12-31 17:51:00+00:00,case_4847
Bio-reactor Tanks,complete,1969-12-31 18:41:00+00:00,case_4847
Final Clarifier,start,1969-12-31 18:51:00+00:00,case_4847
Final Clarifier,complete,1969-12-31 19:21:00+00:00,case_4847
Chlorine Contact Basin,start,1969-12-31 19:26:00+00:00,case_4847
Chlorine Contact Basin,complete,1969-12-31 19:56:00+00:00,case_4847
Pond,start,1969-12-31 20:01:00+00:00,case_4847
Pond,complete,1969-12-31 20:21:00+00:00,case_4847
De-chlorination Pond,start,1969-12-31 20:31:00+00:00,case_4847
De-chlorination Pond,complete,1969-12-31 21:11:00+00:00,case_4847
Effluent Pumping Station,start,1969-12-31 21:31:00+00:00,case_4847
Effluent Pumping Station,complete,1969-12-31 22:21:00+00:00,case_4847
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_1334
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_1334
Fine Screens,start,1969-12-31 16:35:00+00:00,case_1334
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_1334
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_1334
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_1334
Sludge Grinder,start,1969-12-31 17:51:00+00:00,case_1334
Sludge Grinder,complete,1969-12-31 18:26:00+00:00,case_1334
Blend Tank,start,1969-12-31 18:33:00+00:00,case_1334
Blend Tank,complete,1969-12-31 19:43:00+00:00,case_1334
Anaerobic Digester,start,1969-12-31 19:58:00+00:00,case_1334
Anaerobic Digester,complete,1969-12-31 20:28:00+00:00,case_1334
Storage Tank,start,1969-12-31 20:43:00+00:00,case_1334
Storage Tank,complete,1969-12-31 21:28:00+00:00,case_1334
Disposal to Landfill,start,1969-12-31 21:33:00+00:00,case_1334
Disposal to Landfill,complete,1969-12-31 21:53:00+00:00,case_1334
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_2894
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_2894
Fine Screens,start,1969-12-31 16:35:00+00:00,case_2894
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_2894
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_2894
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_2894
Sludge Grinder,start,1969-12-31 17:51:00+00:00,case_2894
Sludge Grinder,complete,1969-12-31 18:26:00+00:00,case_2894
Blend Tank,start,1969-12-31 18:33:00+00:00,case_2894
Blend Tank,complete,1969-12-31 19:43:00+00:00,case_2894
Anaerobic Digester,start,1969-12-31 19:58:00+00:00,case_2894
Anaerobic Digester,complete,1969-12-31 20:28:00+00:00,case_2894
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_4500
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_4500
Fine Screens,start,1969-12-31 16:35:00+00:00,case_4500
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_4500
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_4500
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_4500
Bio-reactor Tanks,start,1969-12-31 17:51:00+00:00,case_4500
Bio-reactor Tanks,complete,1969-12-31 18:41:00+00:00,case_4500
Bio-reactor Tanks,start,1969-12-31 18:51:00+00:00,case_4500
Bio-reactor Tanks,complete,1969-12-31 19:41:00+00:00,case_4500
Final Clarifier,start,1969-12-31 19:51:00+00:00,case_4500
Final Clarifier,complete,1969-12-31 20:21:00+00:00,case_4500
Chlorine Contact Basin,start,1969-12-31 20:26:00+00:00,case_4500
Chlorine Contact Basin,complete,1969-12-31 20:56:00+00:00,case_4500
Pond,start,1969-12-31 21:01:00+00:00,case_4500
Pond,complete,1969-12-31 21:21:00+00:00,case_4500
De-chlorination Pond,start,1969-12-31 21:31:00+00:00,case_4500
De-chlorination Pond,complete,1969-12-31 22:11:00+00:00,case_4500
Effluent Pumping Station,start,1969-12-31 22:31:00+00:00,case_4500
Effluent Pumping Station,complete,1969-12-31 23:21:00+00:00,case_4500
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_4641
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_4641
Fine Screens,start,1969-12-31 16:35:00+00:00,case_4641
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_4641
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_4641
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_4641
Sludge Grinder,start,1969-12-31 17:51:00+00:00,case_4641
Sludge Grinder,complete,1969-12-31 18:26:00+00:00,case_4641
Blend Tank,start,1969-12-31 18:33:00+00:00,case_4641
Blend Tank,complete,1969-12-31 19:43:00+00:00,case_4641
Anaerobic Digester,start,1969-12-31 19:58:00+00:00,case_4641
Anaerobic Digester,complete,1969-12-31 20:28:00+00:00,case_4641
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_1149
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_1149
Fine Screens,start,1969-12-31 16:35:00+00:00,case_1149
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_1149
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_1149
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_1149
Sludge Grinder,start,1969-12-31 17:51:00+00:00,case_1149
Sludge Grinder,complete,1969-12-31 18:26:00+00:00,case_1149
Blend Tank,start,1969-12-31 18:33:00+00:00,case_1149
Blend Tank,complete,1969-12-31 19:43:00+00:00,case_1149
Anaerobic Digester,start,1969-12-31 19:58:00+00:00,case_1149
Anaerobic Digester,complete,1969-12-31 20:28:00+00:00,case_1149
Storage Tank,start,1969-12-31 20:43:00+00:00,case_1149
Storage Tank,complete,1969-12-31 21:28:00+00:00,case_1149
Disposal to Landfill,start,1969-12-31 21:33:00+00:00,case_1149
Disposal to Landfill,complete,1969-12-31 21:53:00+00:00,case_1149
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_1221
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_1221
Fine Screens,start,1969-12-31 16:35:00+00:00,case_1221
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_1221
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_1221
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_1221
Bio-reactor Tanks,start,1969-12-31 17:51:00+00:00,case_1221
Bio-reactor Tanks,complete,1969-12-31 18:41:00+00:00,case_1221
Bio-reactor Tanks,start,1969-12-31 18:51:00+00:00,case_1221
Bio-reactor Tanks,complete,1969-12-31 19:41:00+00:00,case_1221
Dissolved-Air Flotation Thickening,start,1969-12-31 19:51:00+00:00,case_1221
Dissolved-Air Flotation Thickening,complete,1969-12-31 21:11:00+00:00,case_1221
Blend Tank,start,1969-12-31 21:31:00+00:00,case_1221
Blend Tank,complete,1969-12-31 22:41:00+00:00,case_1221
Anaerobic Digester,start,1969-12-31 22:56:00+00:00,case_1221
Anaerobic Digester,complete,1969-12-31 23:26:00+00:00,case_1221
Storage Tank,start,1969-12-31 23:41:00+00:00,case_1221
Storage Tank,complete,1970-01-01 00:26:00+00:00,case_1221
Disposal to Landfill,start,1970-01-01 00:31:00+00:00,case_1221
Disposal to Landfill,complete,1970-01-01 00:51:00+00:00,case_1221
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_3722
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_3722
Fine Screens,start,1969-12-31 16:35:00+00:00,case_3722
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_3722
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_3722
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_3722
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_3722
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_3722
