activity,lifecycle:transition,timestamp,case
Anaerobic Digester,complete,1969-12-31 20:28:00+00:00,case_288
Storage Tank,start,1969-12-31 20:43:00+00:00,case_288
Storage Tank,complete,1969-12-31 21:28:00+00:00,case_288
Disposal to Landfill,start,1969-12-31 21:33:00+00:00,case_288
Disposal to Landfill,complete,1969-12-31 21:53:00+00:00,case_288
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_368
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_368
Fine Screens,start,1969-12-31 16:35:00+00:00,case_368
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_368
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_368
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_368
Sludge Grinder,start,1969-12-31 17:51:00+00:00,case_368
Sludge Grinder,complete,1969-12-31 18:26:00+00:00,case_368
Blend Tank,start,1969-12-31 18:33:00+00:00,case_368
Blend Tank,complete,1969-12-31 19:43:00+00:00,case_368
Anaerobic Digester,start,1969-12-31 19:58:00+00:00,case_368
Anaerobic Digester,complete,1969-12-31 20:28:00+00:00,case_368
Storage Tank,start,1969-12-31 20:43:00+00:00,case_368
Storage Tank,complete,1969-12-31 21:28:00+00:00,case_368
Disposal to Landfill,start,1969-12-31 21:33:00+00:00,case_368
Disposal to Landfill,complete,1969-12-31 21:53:00+00:00,case_368
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_788
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_788
Fine Screens,start,1969-12-31 16:35:00+00:00,case_788
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_788
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_788
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_788
Bio-reactor Tanks,start,1969-12-31 17:51:00+00:00,case_788
Bio-reactor Tanks,complete,1969-12-31 18:41:00+00:00,case_788
Final Clarifier,start,1969-12-31 18:51:00+00:00,case_788
Final Clarifier,complete,1969-12-31 19:21:00+00:00,case_788
Chlorine Contact Basin,start,1969-12-31 19:26:00+00:00,case_788
Chlorine Contact Basin,complete,1969-12-31 19:56:00+00:00,case_788
Pond,start,1969-12-31 20:01:00+00:00,case_788
Pond,complete,1969-12-31 20:21:00+00:00,case_788
De-chlorination Pond,start,1969-12-31 20:31:00+00:00,case_788
De-chlorination Pond,complete,1969-12-31 21:11:00+00:00,case_788
Effluent Pumping Station,start,1969-12-31 21:31:00+00:00,case_788
Effluent Pumping Station,complete,1969-12-31 22:21:00+00:00,case_788
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_488
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_488
Fine Screens,start,1969-12-31 16:35:00+00:00,case_488
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_488
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_488
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_488
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_488
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_488
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_619
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_619
Fine Screens,start,1969-12-31 16:35:00+00:00,case_619
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_619
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_619
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_619
Bio-reactor Tanks,start,1969-12-31 17:51:00+00:00,case_619
Bio-reactor Tanks,complete,1969-12-31 18:41:00+00:00,case_619
Wastewater Centrifuge De-watering Thickening,start,1969-12-31 18:51:00+00:00,case_619
Wastewater Centrifuge De-watering Thickening,complete,1969-12-31 19:51:00+00:00,case_619
Blend Tank,start,1969-12-31 20:01:00+00:00,case_619
Blend Tank,complete,1969-12-31 21:11:00+00:00,case_619
Anaerobic Digester,start,1969-12-31 21:26:00+00:00,case_619
Anaerobic Digester,complete,1969-12-31 21:56:00+00:00,case_619
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_811
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_811
Fine Screens,start,1969-12-31 16:35:00+00:00,case_811
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_811
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_811
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_811
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_811
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_811
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_774
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_774
Fine Screens,start,1969-12-31 16:35:00+00:00,case_774
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_774
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_774
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_774
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_774
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_774
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_609
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_609
Fine Screens,start,1969-12-31 16:35:00+00:00,case_609
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_609
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_609
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_609
Bio-reactor Tanks,start,1969-12-31 17:51:00+00:00,case_609
Bio-reactor Tanks,complete,1969-12-31 18:41:00+00:00,case_609
Bio-reactor Tanks,start,1969-12-31 18:51:00+00:00,case_609
Bio-reactor Tanks,complete,1969-12-31 19:41:00+00:00,case_609
Final Clarifier,start,1969-12-31 19:51:00+00:00,case_609
Final Clarifier,complete,1969-12-31 20:21:00+00:00,case_609
Chlorine Contact Basin,start,1969-12-31 20:26:00+00:00,case_609
Chlorine Contact Basin,complete,1969-12-31 20:56:00+00:00,case_609
Pond,start,1969-12-31 21:01:00+00:00,case_609
Pond,complete,1969-12-31 21:21:00+00:00,case_609
De-chlorination Pond,start,1969-12-31 21:31:00+00:00,case_609
De-chlorination Pond,complete,1969-12-31 22:11:00+00:00,case_609
Effluent Pumping Station,start,1969-12-31 22:31:00+00:00,case_609
Effluent Pumping Station,complete,1969-12-31 23:21:00+00:00,case_609
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_912
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_912
Fine Screens,start,1969-12-31 16:35:00+00:00,case_912
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_912
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_912
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_912
Bio-reactor Tanks,start,1969-12-31 17:51:00+00:00,case_912
Bio-reactor Tanks,complete,1969-12-31 18:41:00+00:00,case_912
Bio-reactor Tanks,start,1969-12-31 18:51:00+00:00,case_912
Bio-reactor Tanks,complete,1969-12-31 19:41:00+00:00,case_912
Final Clarifier,start,1969-12-31 19:51:00+00:00,case_912
Final Clarifier,complete,1969-12-31 20:21:00+00:00,case_912
Chlorine Contact Basin,start,1969-12-31 20:26:00+00:00,case_912
Chlorine Contact Basin,complete,1969-12-31 20:56:00+00:00,case_912
Pond,start,1969-12-31 21:01:00+00:00,case_912
Pond,complete,1969-12-31 21:21:00+00:00,case_912
De-chlorination Pond,start,1969-12-31 21:31:00+00:00,case_912
De-chlorination Pond,complete,1969-12-31 22:11:00+00:00,case_912
Cascade Aerator,start,1969-12-31 22:31:00+00:00,case_912
Cascade Aerator,complete,1969-12-31 23:01:00+00:00,case_912
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_23
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_23
Fine Screens,start,1969-12-31 16:35:00+00:00,case_23
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_23
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_23
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_23
Sludge Grinder,start,1969-12-31 17:51:00+00:00,case_23
Sludge Grinder,complete,1969-12-31 18:26:00+00:00,case_23
Blend Tank,start,1969-12-31 18:33:00+00:00,case_23
Blend Tank,complete,1969-12-31 19:43:00+00:00,case_23
Anaerobic Digester,start,1969-12-31 19:58:00+00:00,case_23
Anaerobic Digester,complete,1969-12-31 20:28:00+00:00,case_23
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_134
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_134
Fine Screens,start,1969-12-31 16:35:00+00:00,case_134
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_134
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_134
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_134
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_134
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_134
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_366
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_366
Fine Screens,start,1969-12-31 16:35:00+00:00,case_366
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_366
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_366
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_366
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_366
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_366
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_461
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_461
Fine Screens,start,1969-12-31 16:35:00+00:00,case_461
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_461
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_461
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_461
Sludge Grinder,start,1969-12-31 17:51:00+00:00,case_461
Sludge Grinder,complete,1969-12-31 18:26:00+00:00,case_461
Blend Tank,start,1969-12-31 18:33:00+00:00,case_461
Blend Tank,complete,1969-12-31 19:43:00+00:00,case_461
Anaerobic Digester,start,1969-12-31 19:58:00+00:00,case_461
Anaerobic Digester,complete,1969-12-31 20:28:00+00:00,case_461
Storage Tank,start,1969-12-31 20:43:00+00:00,case_461
Storage Tank,complete,1969-12-31 21:28:00+00:00,case_461
Disposal to Landfill,start,1969-12-31 21:33:00+00:00,case_461
Disposal to Landfill,complete,1969-12-31 21:53:00+00:00,case_461
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_108
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_108
Fine Screens,start,1969-12-31 16:35:00+00:00,case_108
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_108
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_108
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_108
Sludge Grinder,start,1969-12-31 17:51:00+00:00,case_108
Sludge Grinder,complete,1969-12-31 18:26:00+00:00,case_108
Blend Tank,start,1969-12-31 18:33:00+00:00,case_108
Blend Tank,complete,1969-12-31 19:43:00+00:00,case_108
Anaerobic Digester,start,1969-12-31 19:58:00+00:00,case_108
Anaerobic Digester,complete,1969-12-31 20:28:00+00:00,case_108
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_755
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_755
Fine Screens,start,1969-12-31 16:35:00+00:00,case_755
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_755
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_755
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_755
Sludge Grinder,start,1969-12-31 17:51:00+00:00,case_755
Sludge Grinder,complete,1969-12-31 18:26:00+00:00,case_755
Blend Tank,start,1969-12-31 18:33:00+00:00,case_755
Blend Tank,complete,1969-12-31 19:43:00+00:00,case_755
Anaerobic Digester,start,1969-12-31 19:58:00+00:00,case_755
Anaerobic Digester,complete,1969-12-31 20:28:00+00:00,case_755
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_826
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_826
Fine Screens,start,1969-12-31 16:35:00+00:00,case_826
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_826
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_826
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_826
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_826
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_826
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_842
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_842
Fine Screens,start,1969-12-31 16:35:00+00:00,case_842
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_842
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_842
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_842
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_842
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_842
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_848
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_848
Fine Screens,start,1969-12-31 16:35:00+00:00,case_848
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_848
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_848
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_848
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_848
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_848
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_985
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_985
Fine Screens,start,1969-12-31 16:35:00+00:00,case_985
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_985
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_985
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_985
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_985
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_985
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_694
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_694
Fine Screens,start,1969-12-31 16:35:00+00:00,case_694
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_694
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_694
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_694
Sludge Grinder,start,1969-12-31 17:51:00+00:00,case_694
Sludge Grinder,complete,1969-12-31 18:26:00+00:00,case_694
Blend Tank,start,1969-12-31 18:33:00+00:00,case_694
Blend Tank,complete,1969-12-31 19:43:00+00:00,case_694
Anaerobic Digester,start,1969-12-31 19:58:00+00:00,case_694
Anaerobic Digester,complete,1969-12-31 20:28:00+00:00,case_694
Storage Tank,start,1969-12-31 20:43:00+00:00,case_694
Storage Tank,complete,1969-12-31 21:28:00+00:00,case_694
Disposal to Landfill,start,1969-12-31 21:33:00+00:00,case_694
Disposal to Landfill,complete,1969-12-31 21:53:00+00:00,case_694
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_916
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_916
Fine Screens,start,1969-12-31 16:35:00+00:00,case_916
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_916
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_916
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_916
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_916
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_916
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_305
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_305
Fine Screens,start,1969-12-31 16:35:00+00:00,case_305
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_305
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_305
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_305
Sludge Grinder,start,1969-12-31 17:51:00+00:00,case_305
Sludge Grinder,complete,1969-12-31 18:26:00+00:00,case_305
Blend Tank,start,1969-12-31 18:33:00+00:00,case_305
Blend Tank,complete,1969-12-31 19:43:00+00:00,case_305
Anaerobic Digester,start,1969-12-31 19:58:00+00:00,case_305
Anaerobic Digester,complete,1969-12-31 20:28:00+00:00,case_305
Storage Tank,start,1969-12-31 20:43:00+00:00,case_305
Storage Tank,complete,1969-12-31 21:28:00+00:00,case_305
Disposal to Landfill,start,1969-12-31 21:33:00+00:00,case_305
Disposal to Landfill,complete,1969-12-31 21:53:00+00:00,case_305
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_387
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_387
Fine Screens,start,1969-12-31 16:35:00+00:00,case_387
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_387
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_387
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_387
Bio-reactor Tanks,start,1969-12-31 17:51:00+00:00,case_387
Bio-reactor Tanks,complete,1969-12-31 18:41:00+00:00,case_387
Final Clarifier,start,1969-12-31 18:51:00+00:00,case_387
Final Clarifier,complete,1969-12-31 19:21:00+00:00,case_387
Chlorine Contact Basin,start,1969-12-31 19:26:00+00:00,case_387
Chlorine Contact Basin,complete,1969-12-31 19:56:00+00:00,case_387
Pond,start,1969-12-31 20:01:00+00:00,case_387
Pond,complete,1969-12-31 20:21:00+00:00,case_387
De-chlorination Pond,start,1969-12-31 20:31:00+00:00,case_387
De-chlorination Pond,complete,1969-12-31 21:11:00+00:00,case_387
Cascade Aerator,start,1969-12-31 21:31:00+00:00,case_387
Cascade Aerator,complete,1969-12-31 22:01:00+00:00,case_387
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_760
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_760
Fine Screens,start,1969-12-31 16:35:00+00:00,case_760
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_760
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_760
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_760
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_760
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_760
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_801
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_801
Fine Screens,start,1969-12-31 16:35:00+00:00,case_801
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_801
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_801
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_801
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_801
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_801
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_606
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_606
Fine Screens,start,1969-12-31 16:35:00+00:00,case_606
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_606
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_606
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_606
Bio-reactor Tanks,start,1969-12-31 17:51:00+00:00,case_606
Bio-reactor Tanks,complete,1969-12-31 18:41:00+00:00,case_606
Bio-reactor Tanks,start,1969-12-31 18:51:00+00:00,case_606
Bio-reactor Tanks,complete,1969-12-31 19:41:00+00:00,case_606
Gravity Thickening,start,1969-12-31 19:51:00+00:00,case_606
Gravity Thickening,complete,1969-12-31 20:31:00+00:00,case_606
Blend Tank,start,1969-12-31 20:34:00+00:00,case_606
Blend Tank,complete,1969-12-31 21:44:00+00:00,case_606
Anaerobic Digester,start,1969-12-31 21:59:00+00:00,case_606
Anaerobic Digester,complete,1969-12-31 22:29:00+00:00,case_606
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_1
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_1
Fine Screens,start,1969-12-31 16:35:00+00:00,case_1
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_1
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_1
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_1
Sludge Grinder,start,1969-12-31 17:51:00+00:00,case_1
Sludge Grinder,complete,1969-12-31 18:26:00+00:00,case_1
Blend Tank,start,1969-12-31 18:33:00+00:00,case_1
Blend Tank,complete,1969-12-31 19:43:00+00:00,case_1
Anaerobic Digester,start,1969-12-31 19:58:00+00:00,case_1
Anaerobic Digester,complete,1969-12-31 20:28:00+00:00,case_1
Storage Tank,start,1969-12-31 20:43:00+00:00,case_1
Storage Tank,complete,1969-12-31 21:28:00+00:00,case_1
Disposal to Landfill,start,1969-12-31 21:33:00+00:00,case_1
Disposal to Landfill,complete,1969-12-31 21:53:00+00:00,case_1
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_428
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_428
Fine Screens,start,1969-12-31 16:35:00+00:00,case_428
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_428
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_428
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_428
Bio-reactor Tanks,start,1969-12-31 17:51:00+00:00,case_428
Bio-reactor Tanks,complete,1969-12-31 18:41:00+00:00,case_428
Dissolved-Air Flotation Thickening,start,1969-12-31 18:51:00+00:00,case_428
Dissolved-Air Flotation Thickening,complete,1969-12-31 20:11:00+00:00,case_428
Blend Tank,start,1969-12-31 20:31:00+00:00,case_428
Blend Tank,complete,1969-12-31 21:41:00+00:00,case_428
Anaerobic Digester,start,1969-12-31 21:56:00+00:00,case_428
Anaerobic Digester,complete,1969-12-31 22:26:00+00:00,case_428
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_579
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_579
Fine Screens,start,1969-12-31 16:35:00+00:00,case_579
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_579
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_579
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_579
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_579
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_579
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_747
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_747
Fine Screens,start,1969-12-31 16:35:00+00:00,case_747
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_747
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_747
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_747
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_747
